trace,prefetcher,IPC,speedup,coverage,pythia_llc_load_coverage,pythia_llc_read_overprediction,prediction_accuracy_issued,on_time_issue_yield,fill_utilization,late_frac,accuracy_issued,accuracy_filled,L2_demand_misses,baseline_demand_misses,L2_MPKI_demand,L2_prefetch_requested,L2_prefetch_dropped,L2_prefetch_issued,L2_prefetch_filled,L2_prefetch_useful,L2_prefetch_useless,L2_prefetch_late
omnetpp,bingo,0.29379,1.1745,0.2107,0.4438,1.0927,0.1676,0.1584,0.7136,0.0549,0.1584,0.7136,2597532,3291063,17.3169,5993764,0,5993764,1329974,949134,380323,55132
omnetpp,ipcp,0.27742,1.1091,0.3135,0.3367,1.4782,0.0975,0.0782,0.0827,0.19789,0.0782,0.0827,2259408,3291063,15.0627,5717403,0,5717403,5402597,446941,4953090,110264
omnetpp,spp_dev2,0.26457,1.0577,0.0197,0.171,0.1965,0.0498,0.0402,0.8921,0.19191,0.0402,0.8921,3226240,3291063,21.5083,2538056,0,2538056,114391,102043,12341,24233
omnetpp,streamer,0.27149,1.0854,0.1479,0.2286,0.6375,0.154,0.1358,0.2815,0.11837,0.1358,0.2815,2804441,3291063,18.6963,5449232,0,5449232,2628141,739894,1887008,99336
omnetpp,stride,0.25168,1.0062,0.0086,0.012,0.0092,0.2101,0.2098,0.5555,0.00146,0.2098,0.5555,3262838,3291063,21.7523,178841,0,178841,67532,37515,29982,55
sjeng,nopref,0.52474,,,,,,,,,,,62299,,0.4153,0,0,0,0,0,0,0
sjeng,bingo,0.5253,1.0011,0.0187,0.0191,1.2077,0.0326,0.0325,0.1028,0.00382,0.0325,0.1028,61131,62299,0.4075,96439,0,96439,30454,3132,26509,12
sjeng,ipcp,0.52444,0.9994,-0.0044,-0.0023,2.0896,0.01,0.0099,0.0345,0.00489,0.0099,0.0345,62575,62299,0.4172,759267,0,759267,218471,7528,208274,37
sjeng,spp_dev2,0.52475,1.0,0.0002,0.0009,0.0028,0.0,0.0,,,0.0,,62285,62299,0.4152,4415,0,4415,0,0,0,0
sjeng,streamer,0.52475,1.0,0.012,0.0027,0.0041,0.0237,0.0235,0.2082,0.00693,0.0235,0.2082,61550,62299,0.4103,79122,0,79122,8943,1862,6634,13
